Negeri,Daerah,Bandar,Lat,Lon
Kedah,Baling,Baling,5.6831,100.9106
Kedah,Baling,Baling,5.8149,100.8916
Kedah,Baling,Baling,5.7138,100.8009
Kedah,Baling,Baling,5.7073,100.9602
Kedah,Baling,Baling,5.6875,100.9262
Kedah,Baling,Baling,5.6914,100.8494
Kedah,Bandar Baharu,Serdang,5.2144,100.6151
Kedah,Bandar Baharu,Serdang,5.1964,100.5844
Kedah,Bandar Baharu,Serdang,5.2035,100.6273
Kedah,Bandar Baharu,Serdang,5.2455,100.6017
Kedah,Bandar Baharu,Serdang,5.2251,100.595
Kedah,Bandar Baharu,Serdang,5.2648,100.6143
Kedah,Kuala Muda,Sungai Petani,5.6552,100.5292
Kedah,Kuala Muda,Sungai Petani,5.647,100.4862
Kedah,Kuala Muda,Sungai Petani,5.6432,100.5699
Kedah,Kuala Muda,Sungai Petani,5.6519,100.549
Kedah,Kuala Muda,Sungai Petani,5.6852,100.5695
Kedah,Kuala Muda,Sungai Petani,5.6695,100.4926
Kedah,Kubang Pasu,Jitra,6.2413,100.4322
Kedah,Kubang Pasu,Jitra,6.2793,100.4203
Kedah,Kubang Pasu,Jitra,6.273,100.4583
Kedah,Kubang Pasu,Jitra,6.3288,100.478
Kedah,Kubang Pasu,Jitra,6.2683,100.4248
Kedah,Kubang Pasu,Jitra,6.2757,100.422
Kedah,Kubang Pasu,Jitra,6.3288,100.478
Kedah,Kulim,Kulim,5.3411,100.5649
Kedah,Kulim,Kulim,5.4165,100.5797
Kedah,Kulim,Kulim,5.309,100.5663
Kedah,Kulim,Kulim,5.3926,100.5367
Kedah,Kulim,Kulim,5.3683,100.5576
Kedah,Kulim,Kulim,5.3846,100.5461
Kedah,Kota Setar,Alor Setar,6.124,100.3684
Kedah,Kota Setar,Alor Setar,6.1281,100.3433
Kedah,Kota Setar,Alor Setar,6.1609,100.3634
Kedah,Kota Setar,Alor Setar,6.1205,100.3684
Kedah,Kota Setar,Alor Setar,6.1512,100.3475
Kedah,Kota Setar,Alor Setar,6.1085,100.3547
Kedah,Langkawi,Langkawi,6.346,99.7904
Kedah,Langkawi,Langkawi,6.3311,99.8313
Kedah,Langkawi,Langkawi,6.285,99.7472
Kedah,Langkawi,Langkawi,6.3918,99.7166
Kedah,Langkawi,Langkawi,6.3406,99.7838
Kedah,Langkawi,Langkawi,6.3613,99.7897
Kedah,Padang Terap,Kuala Nerang,6.2465,100.57771
Kedah,Padang Terap,Kuala Nerang,6.2692,100.6245
Kedah,Padang Terap,Kuala Nerang,6.1984,100.7522
Kedah,Padang Terap,Kuala Nerang,6.2803,100.5442
Kedah,Padang Terap,Kuala Nerang,6.201,100.718
Kedah,Padang Terap,Kuala Nerang,6.2296,100.6219
